Q,scan1,scan2
27.91757,-0.264291,-0.197242
28.18575,-0.268396,-0.200937
28.4542,-0.271073,-0.203407
28.72158,-0.272898,-0.205138
28.99083,-0.274178,-0.206377
29.25906,-0.275173,-0.207346
29.52533,-0.275927,-0.208146
29.79334,-0.276553,-0.208881
30.06032,-0.277068,-0.20955
30.32018,-0.277543,-0.210149
30.58314,-0.277944,-0.210731
30.85059,-0.278379,-0.211293
31.1182,-0.278788,-0.211845
31.38492,-0.279187,-0.212378
31.65195,-0.279546,-0.212891
31.92038,-0.279869,-0.213428
32.18942,-0.280179,-0.213955
32.45791,-0.280506,-0.214453
32.72599,-0.280787,-0.214964
32.99414,-0.28105,-0.215435
33.25993,-0.281274,-0.215923
33.52594,-0.281516,-0.216398
33.7935,-0.281714,-0.216858
34.06119,-0.281886,-0.217306
34.32415,-0.282021,-0.217741
34.58979,-0.282129,-0.218132
34.85815,-0.282261,-0.218538
35.12656,-0.282403,-0.218917
35.39423,-0.282513,-0.219278
35.66265,-0.282686,-0.219654
35.92922,-0.282887,-0.220023
36.19671,-0.2831,-0.220443
36.46386,-0.283316,-0.220823
36.73254,-0.283517,-0.221195
36.99942,-0.283708,-0.221564
37.26486,-0.283941,-0.221938
37.53293,-0.284156,-0.222316
37.80047,-0.284395,-0.222667
38.06408,-0.284567,-0.223006
38.3267,-0.284743,-0.223353
38.59385,-0.284969,-0.223737
38.86142,-0.285174,-0.224111
39.12632,-0.285397,-0.224471
39.39222,-0.285604,-0.224803
39.66006,-0.285853,-0.225176
39.92711,-0.286064,-0.225541
40.19506,-0.286281,-0.22587
40.46239,-0.286528,-0.226239
40.72849,-0.286743,-0.226612
40.99645,-0.286968,-0.226954
41.26308,-0.287164,-0.227276
41.53015,-0.287381,-0.227593
41.79715,-0.287615,-0.228
42.06167,-0.287824,-0.228329
42.32741,-0.288003,-0.228657
42.59527,-0.288204,-0.22901
42.86321,-0.288374,-0.22933
43.12942,-0.28856,-0.22962
43.39697,-0.28874,-0.229937
43.6668,-0.288913,-0.230252
43.93498,-0.289066,-0.230551
44.20217,-0.289229,-0.230859
44.46954,-0.2894,-0.231208
44.73604,-0.289557,-0.231501
45.00261,-0.289719,-0.231779
45.26975,-0.289852,-0.23206
45.53853,-0.289996,-0.232311
45.80431,-0.29012,-0.232629
46.06559,-0.29022,-0.232883
46.33265,-0.290302,-0.233129
46.59998,-0.290412,-0.233399
46.86708,-0.290498,-0.233673
47.13435,-0.290595,-0.233909
47.40181,-0.290715,-0.234185
47.67035,-0.290794,-0.234476
47.93715,-0.290872,-0.234744
48.2017,-0.290957,-0.235004
48.4705,-0.29103,-0.235231
48.73742,-0.291095,-0.235499
49.00283,-0.291164,-0.235729
49.26953,-0.291194,-0.23598
49.53697,-0.291236,-0.236208
49.80136,-0.291251,-0.236412
50.06774,-0.291241,-0.236576
50.33653,-0.291257,-0.236726
50.60478,-0.29124,-0.236877
50.87237,-0.291221,-0.23704
51.13602,-0.291192,-0.237023
51.40369,-0.291136,-0.237123
51.67092,-0.291092,-0.237252
51.9373,-0.290941,-0.23735
52.20403,-0.290824,-0.237457
52.47083,-0.290677,-0.237539
52.73854,-0.290526,-0.237647
53.00662,-0.290339,-0.237705
53.27457,-0.290122,-0.237763
53.54122,-0.289841,-0.23781
53.80213,-0.289547,-0.237826
54.06817,-0.289242,-0.237776
54.33556,-0.288914,-0.237789
54.60173,-0.288519,-0.237789
54.86673,-0.288077,-0.237755
55.13228,-0.287608,-0.237678
55.40201,-0.287115,-0.237598
55.67024,-0.28659,-0.237515
55.93811,-0.285958,-0.237425
56.20468,-0.28529,-0.237306
56.47178,-0.284548,-0.237159
56.73818,-0.283843,-0.237022
57.0053,-0.282949,-0.23687
57.27361,-0.281946,-0.23672
57.54088,-0.280801,-0.236557
57.80481,-0.279542,-0.236386
58.07122,-0.278121,-0.236179
58.33927,-0.276494,-0.235908
58.60647,-0.274696,-0.235631
58.87333,-0.27264,-0.235317
59.13973,-0.270301,-0.234968
59.40678,-0.267637,-0.234585
59.67516,-0.264619,-0.234149
59.94091,-0.261227,-0.23369
60.20947,-0.257433,-0.23323
60.47565,-0.253158,-0.232785
60.74263,-0.248377,-0.232316
61.00836,-0.243071,-0.231807
61.27534,-0.237176,-0.231287
61.53943,-0.230716,-0.230752
61.8022,-0.223653,-0.230152
62.07026,-0.216074,-0.229564
62.33858,-0.208086,-0.228947
62.60405,-0.199852,-0.228305
62.86988,-0.191422,-0.227595
63.13808,-0.18302,-0.226861
63.40541,-0.174969,-0.226105
63.67336,-0.167491,-0.225256
63.94125,-0.161061,-0.224367
64.20776,-0.155949,-0.223434
64.47382,-0.152462,-0.22248
64.74061,-0.150858,-0.221398
65.01025,-0.151086,-0.220248
65.27839,-0.153117,-0.219076
65.54374,-0.156766,-0.217777
65.80938,-0.161686,-0.216317
66.07683,-0.167535,-0.214721
66.34417,-0.173873,-0.213089
66.61376,-0.180334,-0.211376
66.88171,-0.186636,-0.209609
67.14916,-0.19252,-0.207796
67.41677,-0.197857,-0.205929
67.68422,-0.202545,-0.20402
67.95172,-0.20664,-0.202165
68.21929,-0.210264,-0.200202
68.48606,-0.21336,-0.198117
68.75251,-0.215965,-0.195791
69.02101,-0.218206,-0.19326
69.28702,-0.220142,-0.190394
69.54649,-0.221845,-0.186952
69.81247,-0.2233,-0.182773
70.0812,-0.224554,-0.17767
70.34897,-0.225721,-0.171514
70.61623,-0.226698,-0.164187
70.88415,-0.22759,-0.155692
71.15133,-0.228368,-0.146343
71.41865,-0.229052,-0.136719
71.68628,-0.22965,-0.127833
71.95393,-0.230186,-0.121169
72.22215,-0.230708,-0.118317
72.48875,-0.231129,-0.120276
72.75544,-0.231507,-0.126712
73.02233,-0.231807,-0.136113
73.28804,-0.232044,-0.146748
73.55081,-0.232282,-0.157239
73.81772,-0.232448,-0.166711
74.0865,-0.232573,-0.174668
74.35383,-0.232656,-0.180995
74.6189,-0.232679,-0.185829
74.88662,-0.232665,-0.189461
75.15422,-0.232623,-0.192193
75.42194,-0.232544,-0.194286
75.68907,-0.232418,-0.195868
75.95616,-0.23221,-0.196975
76.22253,-0.231713,-0.197828
76.4897,-0.231504,-0.198383
76.75704,-0.231391,-0.198494
77.02549,-0.231262,-0.19852
77.28766,-0.231133,-0.19853
77.54872,-0.230968,-0.198463
77.81691,-0.230802,-0.19828
78.08592,-0.230651,-0.198001
78.35199,-0.230502,-0.197615
78.61761,-0.23037,-0.19722
78.8855,-0.230251,-0.196781
79.15352,-0.230125,-0.196283
79.42048,-0.229969,-0.195668
79.68649,-0.229788,-0.19499
79.95439,-0.229543,-0.194264
80.22377,-0.229274,-0.193517
80.49,-0.229003,-0.192763
80.75549,-0.228724,-0.191989
81.02273,-0.228418,-0.191117
81.28808,-0.228073,-0.190197
81.55524,-0.22766,-0.189233
81.82241,-0.227242,-0.188229
82.08954,-0.226749,-0.18717
82.35679,-0.226374,-0.186103
82.62357,-0.226024,-0.185042
82.89132,-0.22564,-0.18401
83.15865,-0.225164,-0.182992
83.42549,-0.224695,-0.181972
83.69344,-0.224283,-0.181043
83.96272,-0.22389,-0.180081
84.23098,-0.223543,-0.179135
84.49734,-0.223135,-0.178275
84.76324,-0.222709,-0.177509
85.02938,-0.222276,-0.176715
85.2902,-0.221886,-0.175945
85.55409,-0.221474,-0.175253
85.82172,-0.221035,-0.174682
86.09027,-0.22059,-0.17421
86.3582,-0.220162,-0.173808
86.62451,-0.21974,-0.173491
86.89192,-0.219312,-0.173215
87.15829,-0.218937,-0.173001
87.42624,-0.218547,-0.172848
87.69301,-0.218133,-0.172843
87.96171,-0.217809,-0.172906
88.22899,-0.217518,-0.173051
88.49576,-0.217248,-0.173247
88.76329,-0.21702,-0.173432
89.03089,-0.216755,-0.173595
89.29535,-0.216489,-0.173795
89.56045,-0.216252,-0.17396
89.826,-0.216058,-0.174122
90.09257,-0.21584,-0.174253
90.35847,-0.215635,-0.174348
90.62616,-0.215463,-0.174415
90.89461,-0.215326,-0.174432
91.16243,-0.215251,-0.17447
91.4296,-0.21518,-0.174489
91.69778,-0.215189,-0.174507
91.96586,-0.215196,-0.174523
92.23225,-0.215187,-0.174468
92.49886,-0.215144,-0.174456
92.76445,-0.21528,-0.1744
93.03213,-0.215413,-0.174368
93.29328,-0.215487,-0.174243
93.55776,-0.215578,-0.174113
93.82255,-0.215673,-0.173989
94.08857,-0.215826,-0.173947
94.35568,-0.216063,-0.173953
94.62286,-0.216348,-0.173944
